review,price_min,price_max,price_mean,price_stdev,price_median
Overwhelmingly Positive,0,44.99,9.4978025477707,7.219639389841746,7.99
Very Positive,0,95.99,8.306286441009588,8.065053721437767,6.99
Positive,0,209.99,5.401952314165498,7.057195339789254,3.99
Mostly Positive,0,154.99,7.113205565765293,8.28856842486231,4.99
Mixed,0,154.99,5.67472762026123,7.361617296602658,3.99
Mostly Negative,0,49.99,4.735236928104575,5.932111275027272,2.89
Negative,0,46.49,5.1405785123966945,6.538856079560178,3.99
Very Negative,0.79,14.99,6.573333333333333,4.438822237614709,5.6899999999999995
Overwhelmingly Negative,0.79,10.99,6.675714285714286,3.4580478941297557,6.99
